Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|packed|legitimate
e9e817aac1d3448a049c521d52472e426fca063a4f45e66da29201525a30bafd.exe|8c0b7e1ddc3863906e8aec8747b6272a|332|224|258|48|0|6656|19456|0|14702|8192|16384|4194304|8192|512|4|0|0|0|6|0|49152|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|3.0115431415329588|0.08153941234324169|5.493702651846721|8704.0|512|18944|8404.0|12|18684|1|1|0|0|4|3.377695002439154|1.919240704636849|5.0011168136751865|4593.0|20|16936|0|0|1|0
788ea00a409b014057ab3e26da71161e4eacec9478e45a836cfca6eb34d6d152.exe|bbe9cda8d32c9d9e654aa42d384049e5|332|224|258|48|0|534016|2048|0|542082|8192|548864|4194304|8192|512|4|0|0|0|4|0|565248|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.4399544837312415|0.10191042566270775|7.860999413802216|178688.0|512|534016|178346.66666666666|12|533984|1|1|0|0|1|3.293688363887397|3.293688363887397|3.293688363887397|952.0|952|952|0|0|0|0
RblxImageLoggerSploitz.bin|1c2d01bddf4cd5b658b3ea99335a7fe6|332|224|34|80|0|99840|2048|0|107526|8192|114688|4194304|8192|512|4|0|0|0|6|0|131072|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|2.828757540156831|0.10191042566270775|4.229956528520135|33962.666666666664|512|99840|33617.333333333336|12|99340|1|1|0|0|2|4.1332098776976895|3.265302941720192|5.0011168136751865|667.0|490|844|0|0|1|0
655502d2be60c76507e9c26237a439323de8d219418bbd16ab9096592d918bb7.exe|3f1be7e4b7e22a6a5befe8982565eb40|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604194289720237|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
7c0b8e00a10df3711eab32056f0922e62eefca57f74791d1ec540a64c300f1de.exe|6abb706a2056843aed2d2f2dd6c5a24e|332|224|258|80|0|688640|13312|0|696462|8192|704512|4194304|8192|512|4|0|0|0|4|0|729088|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|4.971602168740892|0.10191042566270775|7.59978727579843|233984.0|512|688640|233693.33333333334|12|688276|1|1|0|0|4|4.314760548324251|1.1540157730728|7.80936478197662|3120.75|20|11129|0|0|1|0
8fc45cc46f7edf714ac91515448304cc03d9e5b44b993773be4b2eae49761d97.exe|e397016c612ed96f6576f07c03475a34|332|224|33166|2|25|576000|241664|0|579704|4096|581632|4194304|4096|512|4|0|0|0|4|0|839680|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|3.634028989609161|0.0|6.690293867740448|102208.0|0|576000|102498.125|24|575688|16|423|0|0|66|3.105546103327932|1.8387586809150083|6.644632579904592|2721.6060606060605|16|137540|0|0|1|0
6616746c71d6a3cf1cbbe5e6f1e41a21b502122bebae8bedb435cd3189553405.exe|592703b4c218551c7333ed32b982ad6e|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604220908441088|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
7458a85fd39f32be68bcf462b5afac6566d2f8e6c614d3e00c1f0828f89387f3.exe|49f877a9b3d84fc424b05a0ed1996fed|332|224|258|80|0|578560|2048|0|586702|8192|589824|4194304|8192|512|4|0|0|0|4|0|606208|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.746325789622332|0.10191042566270775|6.964678446080528|193536.0|512|578560|193344.0|12|578516|1|1|0|0|2|4.154079504972353|3.3070421962695207|5.0011168136751865|671.0|490|852|0|0|1|0
d427320bd2f12aaff3985dd7bd8098ccc7c8c0e81f9216db4374dd8f8692b77b.exe|2affdb902c4f80edfaf5d7e35f25aaea|34404|240|8226|12|0|380928|312832|0|210636|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.625828688448937|3.865984764312594|7.895030362026798|113749.33333333333|4096|380928|115322.5|3700|380659|3|104|0|129|3|5.125746592462241|2.566961045565863|7.898664216085756|54607.0|112|163328|112|0|0|0
3ea96e65b256ffeac39d93110a1e9386be5c262a0b2b35c042d78c6f8b2ce9fc.exe|6fb007658467146a0159db79a0cd56fd|332|224|258|48|0|520704|2048|0|528842|8192|532480|4194304|8192|512|4|0|0|0|4|0|548864|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.399097170622001|0.10191042566270775|7.6506454955652154|174250.66666666666|512|520704|173917.33333333334|12|520656|1|1|0|0|1|3.3098614054643862|3.3098614054643862|3.3098614054643862|992.0|992|992|0|0|1|0
ransomware.bin|1a209343e0eb93a07c0da41ef5c93ab0|332|224|290|14|32|1285632|422912|0|1253535|4096|1290240|4194304|4096|512|6|0|0|0|6|0|1720320|1024|1733111|2|33088|1048576|4096|1048576|4096|0|16|5|5.079209457076702|1.3610538566082986|6.839852692081272|341504.0|1024|1285632|341455.8|776|1285545|16|131|0|0|1|4.6230967622787364|4.6230967622787364|4.6230967622787364|680.0|680|680|192|0|1|0
b5f8922b7a7bc0f1ee29146a715c307e41a42f91864db30d82e3d3c3a2ee455f.exe|125ad7a43e0e193cd76f244e9285c880|34404|240|8226|14|29|93184|234496|0|7760|4096|0|6442450944|4096|512|6|0|0|0|6|0|344064|1024|0|2|288|1048576|4096|1048576|4096|0|16|7|4.843850479912737|2.01368355891762|7.845677103931159|46080.0|512|165888|46504.28571428572|252|165600|3|93|0|129|3|5.1096985104706665|2.566961045565863|7.850519970111032|55119.0|112|164864|312|0|0|0
73865a87ccbba39258ac07f9e0606df31aebc510aa2e7b437fc8a9fcdd1d55a3.exe|7fec36c6ceba69525848b9eaaf85307f|332|224|263|2|28|680448|1101312|3072|4832|4096|688128|4194304|4096|512|4|0|1|0|4|0|1282048|1024|2341654|3|0|2097152|4096|1048576|4096|0|16|16|3.683817379808515|0.0|7.1379842374928755|77504.0|0|680448|77369.875|24|680084|4|115|0|0|0|0|0|0|0|0|0|0|0|0|0
4c1dcdb75a7b931ee96b2e7acb81c988d3a4eb6e4c5d3c4431532cdd2ad4ae3e.exe|ef00b985340a8a5337505e46d4e4d172|332|224|258|48|0|5632|167424|0|13630|8192|16384|4194304|8192|512|4|0|0|0|6|0|196608|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|3.0208318116350252|0.08153941234324169|5.41566203509322|57685.333333333336|512|166912|57405.333333333336|12|166760|1|1|0|0|12|3.7709663414244132|2.790338579162994|7.333221187839406|13838.583333333334|132|67624|0|0|1|0
dafbbe6e52942066d89d35dfb6c20b8247d51e38d56cc4425dfd2c0d51f3360f.exe|ec88862b229a95163f9c56653297566f|332|224|258|14|0|201216|114176|0|126016|4096|208896|4194304|4096|512|5|1|0|0|5|1|475136|1024|0|2|49472|1048576|4096|1048576|4096|0|16|6|5.358855132352364|3.2982538067961342|6.708075396341128|52565.333333333336|512|201216|75847.33333333333|392|200938|2|150|0|0|27|4.123950361183551|2.718576739955766|7.945465179488283|2059.4074074074074|104|15729|92|0|1|0
